Local time,Open,High,Low,Close,Volume
02.05.2023 00:00:00.000 GMT+0300,1981.344,2019.248,1978.324,2016.325,32224630.1472
03.05.2023 00:00:00.000 GMT+0300,2016.488,2040.298,2007.414,2038.798,29261180.967200004
04.05.2023 00:00:00.000 GMT+0300,2039.274,2079.778,2030.214,2049.498,53467901.40849999
05.05.2023 00:00:00.000 GMT+0300,2049.644,2052.925,1999.455,2016.298,76076936.42369998
08.05.2023 00:00:00.000 GMT+0300,2016.608,2029.334,2014.134,2020.625,76556309.9982
09.05.2023 00:00:00.000 GMT+0300,2020.404,2037.494,2019.344,2033.868,88654230.4159
10.05.2023 00:00:00.000 GMT+0300,2033.954,2048.114,2021.434,2029.465,102128338.78390001
11.05.2023 00:00:00.000 GMT+0300,2029.944,2041.214,2011.044,2014.595,127811280.07149999
12.05.2023 00:00:00.000 GMT+0300,2014.654,2022.494,2000.825,2009.798,75348925.41170001
15.05.2023 00:00:00.000 GMT+0300,2007.498,2022.114,2006.998,2015.678,77636580.0201
16.05.2023 00:00:00.000 GMT+0300,2015.304,2018.235,1985.405,1988.848,96568827.53959998
17.05.2023 00:00:00.000 GMT+0300,1989.104,1992.985,1974.935,1981.298,89272510.2606
18.05.2023 00:00:00.000 GMT+0300,1981.464,1985.944,1951.885,1957.348,51410759.53840001
19.05.2023 00:00:00.000 GMT+0300,1956.418,1984.075,1953.905,1977.448,29291929.900799997
22.05.2023 00:00:00.000 GMT+0300,1976.478,1982.505,1968.765,1971.645,26590119.9131
23.05.2023 00:00:00.000 GMT+0300,1970.864,1977.554,1954.084,1974.698,34162269.5775
24.05.2023 00:00:00.000 GMT+0300,1974.684,1985.194,1956.548,1956.648,28820130.288599998
25.05.2023 00:00:00.000 GMT+0300,1956.104,1964.625,1938.658,1941.005,29568119.972900003
26.05.2023 00:00:00.000 GMT+0300,1939.844,1957.215,1936.655,1945.788,32316150.4569
29.05.2023 00:00:00.000 GMT+0300,1942.078,1949.575,1940.145,1943.054,14114720.1359
30.05.2023 00:00:00.000 GMT+0300,1943.704,1963.378,1931.905,1959.088,28245689.913500004
31.05.2023 00:00:00.000 GMT+0300,1958.788,1974.628,1953.498,1962.398,30778149.9923
01.06.2023 00:00:00.000 GMT+0300,1962.204,1983.015,1953.255,1977.098,28216399.9826
02.06.2023 00:00:00.000 GMT+0300,1976.804,1983.315,1947.164,1947.738,28265998.2591
05.06.2023 00:00:00.000 GMT+0300,1947.045,1963.955,1938.045,1961.448,22857849.702199996
06.06.2023 00:00:00.000 GMT+0300,1960.964,1966.238,1954.255,1963.198,20849020.078700006
07.06.2023 00:00:00.000 GMT+0300,1963.214,1970.085,1939.638,1939.715,22293734.878300004
08.06.2023 00:00:00.000 GMT+0300,1940.344,1970.398,1939.544,1965.148,27523139.9835
