Local time,Open,High,Low,Close,Volume
07.06.2023 00:00:00.000 GMT+0300,1964.386,1970.415,1940.062,1941.125,21784439.876900006
08.06.2023 00:00:00.000 GMT+0300,1941.376,1970.685,1940.136,1965.752,25529040.2174
09.06.2023 00:00:00.000 GMT+0300,1966.382,1973.285,1956.795,1961.562,20782599.8514
12.06.2023 00:00:00.000 GMT+0300,1961.266,1967.165,1949.496,1958.252,21594588.9354
13.06.2023 00:00:00.000 GMT+0300,1957.706,1971.382,1940.252,1944.152,25519999.9514
14.06.2023 00:00:00.000 GMT+0300,1944.536,1960.536,1940.005,1942.525,25379140.079000004
15.06.2023 00:00:00.000 GMT+0300,1943.476,1960.455,1925.322,1958.322,28976569.9657
16.06.2023 00:00:00.000 GMT+0300,1958.712,1968.185,1953.512,1958.212,23769540.0268
19.06.2023 00:00:00.000 GMT+0300,1958.652,1959.005,1948.015,1950.562,15657120.0788
20.06.2023 00:00:00.000 GMT+0300,1951.476,1956.975,1930.005,1936.652,25700348.7644
21.06.2023 00:00:00.000 GMT+0300,1937.006,1939.705,1919.402,1932.902,28297000.2295
22.06.2023 00:00:00.000 GMT+0300,1932.902,1935.265,1912.762,1915.015,26366530.090599995
23.06.2023 00:00:00.000 GMT+0300,1914.096,1937.652,1910.416,1921.462,23225570.201700006
26.06.2023 00:00:00.000 GMT+0300,1925.752,1933.582,1921.745,1924.595,22859310.209699996
27.06.2023 00:00:00.000 GMT+0300,1923.796,1930.875,1911.095,1914.675,26483774.811
28.06.2023 00:00:00.000 GMT+0300,1914.296,1917.495,1903.055,1907.942,21769849.911300004
29.06.2023 00:00:00.000 GMT+0300,1908.682,1913.335,1893.256,1908.422,23240422.099999998
30.06.2023 00:00:00.000 GMT+0300,1908.796,1922.915,1900.765,1920.612,26261879.444100004
03.07.2023 00:00:00.000 GMT+0300,1920.552,1931.306,1910.302,1922.255,23122976.966300003
04.07.2023 00:00:00.000 GMT+0300,1922.346,1930.945,1920.212,1926.115,15449940.130200002
05.07.2023 00:00:00.000 GMT+0300,1926.786,1935.235,1915.082,1915.732,22304090.082500003
06.07.2023 00:00:00.000 GMT+0300,1915.766,1927.845,1902.855,1911.052,28673070.0136
07.07.2023 00:00:00.000 GMT+0300,1911.886,1935.085,1909.815,1926.112,34509709.894499995
10.07.2023 00:00:00.000 GMT+0300,1925.902,1928.546,1912.885,1925.602,19267799.899
11.07.2023 00:00:00.000 GMT+0300,1926.072,1938.715,1924.565,1932.485,23619490.012399998
12.07.2023 00:00:00.000 GMT+0300,1933.296,1959.895,1932.465,1957.865,23207674.965400003
13.07.2023 00:00:00.000 GMT+0300,1957.606,1964.092,1952.666,1960.822,25060069.933599994
14.07.2023 00:00:00.000 GMT+0300,1961.466,1963.992,1951.142,1955.602,23180359.706100002
17.07.2023 00:00:00.000 GMT+0300,1955.315,1960.045,1946.045,1955.422,17959400.0876
18.07.2023 00:00:00.000 GMT+0300,1955.246,1984.535,1954.896,1980.075,25479720.3391
19.07.2023 00:00:00.000 GMT+0300,1979.556,1981.125,1969.985,1976.922,18779830.0088
20.07.2023 00:00:00.000 GMT+0300,1977.115,1987.732,1965.535,1969.862,27394200.146200005
21.07.2023 00:00:00.000 GMT+0300,1970.185,1974.045,1957.045,1962.242,20796009.972799998
24.07.2023 00:00:00.000 GMT+0300,1963.002,1968.055,1953.662,1955.102,20028209.984599996
25.07.2023 00:00:00.000 GMT+0300,1955.802,1965.885,1952.155,1965.205,24204090.208
26.07.2023 00:00:00.000 GMT+0300,1965.395,1978.565,1962.255,1973.000,27851425.081500005
27.07.2023 00:00:00.000 GMT+0300,1972.982,1982.455,1942.865,1946.225,34789640.15829999
28.07.2023 00:00:00.000 GMT+0300,1947.105,1963.715,1945.665,1960.155,25497409.8505
31.07.2023 00:00:00.000 GMT+0300,1960.505,1972.655,1950.962,1965.252,17708596.0507
01.08.2023 00:00:00.000 GMT+0300,1966.165,1966.625,1941.425,1945.222,22351859.956999995
02.08.2023 00:00:00.000 GMT+0300,1951.125,1954.995,1933.212,1934.832,26917949.9148
03.08.2023 00:00:00.000 GMT+0300,1935.155,1939.152,1929.775,1934.392,25275219.827800002
04.08.2023 00:00:00.000 GMT+0300,1934.785,1947.195,1925.576,1943.352,22619770.0502
07.08.2023 00:00:00.000 GMT+0300,1943.315,1947.036,1931.695,1937.502,14276879.906799998
08.08.2023 00:00:00.000 GMT+0300,1938.175,1938.375,1922.955,1925.622,18981900.096100003
09.08.2023 00:00:00.000 GMT+0300,1926.342,1932.545,1914.345,1915.112,16417669.787899997
10.08.2023 00:00:00.000 GMT+0300,1915.272,1930.375,1912.402,1912.602,21243000.1499
11.08.2023 00:00:00.000 GMT+0300,1913.175,1921.265,1911.195,1914.222,17776589.870599996
14.08.2023 00:00:00.000 GMT+0300,1914.095,1916.435,1902.872,1907.502,15166739.881199999
15.08.2023 00:00:00.000 GMT+0300,1907.686,1911.865,1896.635,1902.202,20479109.942900002
16.08.2023 00:00:00.000 GMT+0300,1902.095,1907.385,1891.752,1892.262,18451299.9355
17.08.2023 00:00:00.000 GMT+0300,1892.885,1903.712,1885.215,1890.112,22561945.021199998
18.08.2023 00:00:00.000 GMT+0300,1890.402,1897.102,1887.002,1889.742,18790019.8698
21.08.2023 00:00:00.000 GMT+0300,1890.195,1898.995,1885.055,1895.102,16525602.0127
22.08.2023 00:00:00.000 GMT+0300,1896.172,1904.752,1889.355,1897.742,15168050.154800002
23.08.2023 00:00:00.000 GMT+0300,1898.382,1920.565,1897.705,1916.242,18290176.085999995
24.08.2023 00:00:00.000 GMT+0300,1916.002,1923.555,1911.975,1917.282,15656442.046100002
25.08.2023 00:00:00.000 GMT+0300,1917.642,1922.585,1904.015,1915.922,18262612.9088
28.08.2023 00:00:00.000 GMT+0300,1916.652,1926.255,1913.015,1920.995,11914790.064
29.08.2023 00:00:00.000 GMT+0300,1920.902,1938.395,1914.675,1937.982,13646375.119599998
30.08.2023 00:00:00.000 GMT+0300,1937.925,1949.255,1935.175,1943.222,25378512.129099995
31.08.2023 00:00:00.000 GMT+0300,1944.542,1948.095,1939.225,1940.762,13224640.026899999
01.09.2023 00:00:00.000 GMT+0300,1940.892,1953.285,1934.652,1940.302,25214024.841900002
04.09.2023 00:00:00.000 GMT+0300,1940.955,1946.532,1936.992,1938.515,10180819.9083
05.09.2023 00:00:00.000 GMT+0300,1939.252,1939.252,1925.535,1926.462,15872740.008000001
06.09.2023 00:00:00.000 GMT+0300,1926.672,1929.395,1915.522,1917.002,18829489.7526
07.09.2023 00:00:00.000 GMT+0300,1918.016,1923.795,1916.435,1920.002,13452379.9266
08.09.2023 00:00:00.000 GMT+0300,1920.202,1929.925,1917.545,1919.542,21161150.067899995
11.09.2023 00:00:00.000 GMT+0300,1920.802,1930.915,1916.885,1922.752,18027129.963099997
12.09.2023 00:00:00.000 GMT+0300,1923.332,1924.765,1907.795,1913.952,13454629.853500001
13.09.2023 00:00:00.000 GMT+0300,1913.132,1915.955,1905.876,1908.662,15940319.8958
14.09.2023 00:00:00.000 GMT+0300,1909.792,1913.142,1901.205,1911.102,24334990.0692
15.09.2023 00:00:00.000 GMT+0300,1911.822,1930.605,1910.052,1924.922,32716522.0677
18.09.2023 00:00:00.000 GMT+0300,1925.112,1934.502,1922.755,1934.182,12284320.0713
19.09.2023 00:00:00.000 GMT+0300,1934.752,1937.565,1929.965,1931.602,10800809.9942
20.09.2023 00:00:00.000 GMT+0300,1932.312,1947.615,1928.155,1931.072,17416604.9512
21.09.2023 00:00:00.000 GMT+0300,1931.336,1931.672,1914.075,1920.392,16540950.015100004
22.09.2023 00:00:00.000 GMT+0300,1920.765,1929.305,1919.852,1925.642,13025389.9098
25.09.2023 00:00:00.000 GMT+0300,1925.575,1927.415,1915.365,1916.352,11881049.901200004
26.09.2023 00:00:00.000 GMT+0300,1916.356,1916.972,1899.295,1901.052,13151280.0755
27.09.2023 00:00:00.000 GMT+0300,1900.876,1904.152,1872.762,1876.002,20433609.739
28.09.2023 00:00:00.000 GMT+0300,1875.902,1879.795,1857.835,1865.702,24434159.770400003
29.09.2023 00:00:00.000 GMT+0300,1866.475,1880.075,1846.495,1849.162,21936974.883199997
02.10.2023 00:00:00.000 GMT+0300,1849.212,1849.212,1827.385,1828.402,19059249.795999996
03.10.2023 00:00:00.000 GMT+0300,1829.932,1833.605,1815.535,1823.362,23357968.091999996
04.10.2023 00:00:00.000 GMT+0300,1823.402,1831.045,1816.792,1821.952,22415453.8512
05.10.2023 00:00:00.000 GMT+0300,1822.532,1829.395,1813.215,1820.592,18413781.1814
06.10.2023 00:00:00.000 GMT+0300,1820.665,1835.055,1810.605,1833.452,20804516.7179
